Weatherstation;Latitude(Dezimalgrad);Longitude(Dezimalgrad);Altitude
Aachen-Orsbach;50,78;6,02;231
Angermuende;53,03;14;56
Arkona;54,68;13,43;42
Augsburg;48,43;10,93;461
Bad Lippspringe;51,78;8,83;157
Bamberg;49,87;10,92;240
Berlin-Dahlem;52,47;13,3;51
Berlin-Tegel;52,57;13,32;37
Berlin-Tempelhof;52,47;13,4;50
Bremen;53,05;8,8;3
Brocken;51,8;10,62;1142
Cottbus;51,78;14,32;69
Cuxhaven;53,87;8,7;5
Dresden-Klotzsche;51,13;13,75;230
Duesseldorf;51,3;6,77;45
Emden-Koenigspolder;53,35;7,22;5
Erfurt-Bindersleben;50,98;10,97;315
Feldberg/Schwarzwald;47,88;8;1486
Fichtelberg;50,43;12,95;1213
Frankfurt/M-Flughafen;50,02;8,52;104
Freudenstadt;48,45;8,42;797
Fritzlar;51,12;9,28;172
Fuerstenzell;48,55;13,35;476
Gera-Leumnitz;50,88;12,13;311
Goerlitz;51,17;14,95;237
Greifswald;54,1;13,4;2
Grosser Arber;49,12;13,13;1437
Hahn;49,95;7,27;491
Hamburg-Fuhlsbuettel;53,63;10;16
Hannover;52,47;9,68;56
Helgoland;54,18;7,9;4
Hof-Hohensaas;50,32;11,88;567
Hohenpeissenberg;47,8;11,02;977
Kahler;51,18;8,48;839
Kempten;47,72;10,33;705
Kiel Leuchtturm;54,5;10,28;5
Kiel-Holtenau;54,38;10,15;31
Koeln/Bonn;50,87;7,17;91
Konstanz;47,68;9,18;443
Lahr;48,37;7,83;155
Leipzig-Schkeuditz;51,42;12,23;144
Lindenberg;52,22;14,12;98
List/Sylt;55,02;8,42;26
Magdeburg;52,13;11,6;79
Mannheim;49,5;8,55;99
Marnitz;53,32;11,93;81
Meiningen;50,57;10,38;450
Muenchen-Flughafen;48,37;11,8;453
Muenster/Osnabrueck;52,13;7,7;48
Neuruppin;52,9;12,82;38
Norderney;53,72;7,15;11
Nuerburg-Barweiler;50,35;6,87;485
Nuernberg;49,5;11,05;318
Oberstdorf;47,4;10,28;810
Oehringen;49,22;9,52;276
Offenbach-Wetterpark;50,08;8,78;119
Potsdam;52,38;13,07;81
Regensburg;49,05;12,1;366
Rheinstetten;48,97;8,32;116
Rostock-Warnemuende;54,18;12,08;4
Saarbruecken/Ensheim;49,22;7,12;322
Schleswig;54,53;9,55;43
Schwerin;53,65;11,38;59
Stoetten;48,67;9,87;734
Straubing;48,83;12,57;350
Stuttgart-Echterdingen;48,68;9,22;396
Trier-Petrisberg;49,75;6,67;265
Wasserkuppe;50,5;9,95;921
Weiden;49,67;12,18;438
Westermarkelsdorf;54,53;11,07;3
Wuerzburg;49,77;9,97;268
Zugspitze;47,42;10,98;2960
